INFO:root:Number of parameters: 369498
INFO:root:178: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0002, L-val: 8.6996
INFO:root:179: Acc-tr: 100.00, Acc-val:  10.11, L-tr: 0.0003, L-val: 8.7421
INFO:root:180: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0002, L-val: 8.7342
INFO:root:181: Acc-tr: 100.00, Acc-val:  10.56, L-tr: 0.0002, L-val: 8.7273
INFO:root:182: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0002, L-val: 8.7359
INFO:root:183: Acc-tr: 100.00, Acc-val:  10.46, L-tr: 0.0002, L-val: 8.6728
INFO:root:184: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0002, L-val: 8.6823
INFO:root:185: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0003, L-val: 8.6384
INFO:root:186: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0002, L-val: 8.6720
INFO:root:187: Acc-tr: 100.00, Acc-val:  10.21, L-tr: 0.0002, L-val: 8.7157
INFO:root:188: Acc-tr: 100.00, Acc-val:  10.25, L-tr: 0.0002, L-val: 8.7276
INFO:root:189: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0002, L-val: 8.6945
INFO:root:190: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0003, L-val: 8.6676
INFO:root:191: Acc-tr: 100.00, Acc-val:  10.60, L-tr: 0.0002, L-val: 8.6733
INFO:root:192: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0002, L-val: 8.6317
INFO:root:193: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0002, L-val: 8.6741
INFO:root:194: Acc-tr: 100.00, Acc-val:  10.45, L-tr: 0.0002, L-val: 8.6581
INFO:root:195: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0002, L-val: 8.6202
INFO:root:196: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0002, L-val: 8.6828
INFO:root:197: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0002, L-val: 8.6602
INFO:root:198: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0002, L-val: 8.6852
INFO:root:199: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0002, L-val: 8.6425
INFO:root:200: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0002, L-val: 8.5887
INFO:root:201: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0002, L-val: 8.6696
INFO:root:202: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0002, L-val: 8.6084
INFO:root:203: Acc-tr: 100.00, Acc-val:  10.63, L-tr: 0.0002, L-val: 8.6593
INFO:root:204: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0002, L-val: 8.5667
INFO:root:205: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0002, L-val: 8.5894
INFO:root:206: Acc-tr: 100.00, Acc-val:  10.57, L-tr: 0.0002, L-val: 8.6202
INFO:root:207: Acc-tr: 100.00, Acc-val:  10.50, L-tr: 0.0002, L-val: 8.6313
INFO:root:208: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0002, L-val: 8.6320
INFO:root:209: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0002, L-val: 8.5558
INFO:root:210: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0002, L-val: 8.6278
INFO:root:211: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0002, L-val: 8.5843
INFO:root:212: Acc-tr: 100.00, Acc-val:  10.48, L-tr: 0.0002, L-val: 8.5857
INFO:root:213: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0002, L-val: 8.5893
INFO:root:214: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0002, L-val: 8.6112
INFO:root:215: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0002, L-val: 8.5920
INFO:root:216: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0002, L-val: 8.5854
INFO:root:217: Acc-tr: 100.00, Acc-val:  10.45, L-tr: 0.0002, L-val: 8.5930
INFO:root:218: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0002, L-val: 8.6216
INFO:root:219: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0002, L-val: 8.5978
INFO:root:220: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0002, L-val: 8.5621
INFO:root:221: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0002, L-val: 8.6085
INFO:root:222: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0002, L-val: 8.5873
INFO:root:223: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0002, L-val: 8.5589
INFO:root:224: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0002, L-val: 8.5802
INFO:root:225: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0002, L-val: 8.5926
INFO:root:226: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0002, L-val: 8.5151
INFO:root:227: Acc-tr: 100.00, Acc-val:  10.51, L-tr: 0.0002, L-val: 8.5712
INFO:root:228: Acc-tr: 100.00, Acc-val:  10.46, L-tr: 0.0002, L-val: 8.5394
INFO:root:229: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0002, L-val: 8.5861
INFO:root:230: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0002, L-val: 8.5711
INFO:root:231: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0002, L-val: 8.5807
INFO:root:232: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0002, L-val: 8.5691
INFO:root:233: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0002, L-val: 8.5726
INFO:root:234: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0002, L-val: 8.5285
INFO:root:235: Acc-tr: 100.00, Acc-val:  10.27, L-tr: 0.0002, L-val: 8.5273
INFO:root:236: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0002, L-val: 8.5257
INFO:root:237: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0002, L-val: 8.5417
INFO:root:238: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0002, L-val: 8.5477
INFO:root:239: Acc-tr: 100.00, Acc-val:  10.54, L-tr: 0.0002, L-val: 8.5334
INFO:root:240: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0002, L-val: 8.5509
INFO:root:241: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0002, L-val: 8.5064
INFO:root:242: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0002, L-val: 8.5308
INFO:root:243: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0002, L-val: 8.5731
INFO:root:244: Acc-tr: 100.00, Acc-val:  10.46, L-tr: 0.0002, L-val: 8.5664
INFO:root:245: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0002, L-val: 8.5270
INFO:root:246: Acc-tr: 100.00, Acc-val:  10.10, L-tr: 0.0002, L-val: 8.5651
INFO:root:247: Acc-tr: 100.00, Acc-val:  10.50, L-tr: 0.0002, L-val: 8.5129
INFO:root:248: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0002, L-val: 8.5158
INFO:root:249: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0002, L-val: 8.5257
INFO:root:250: Acc-tr: 100.00, Acc-val:  10.33, L-tr: 0.0002, L-val: 8.5315
INFO:root:251: Acc-tr: 100.00, Acc-val:  10.18, L-tr: 0.0002, L-val: 8.5005
INFO:root:252: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0002, L-val: 8.5203
INFO:root:253: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0002, L-val: 8.4809
INFO:root:254: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0002, L-val: 8.5003
INFO:root:255: Acc-tr: 100.00, Acc-val:  10.45, L-tr: 0.0002, L-val: 8.4852
INFO:root:256: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0001, L-val: 8.5690
INFO:root:257: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0002, L-val: 8.5265
INFO:root:258: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0002, L-val: 8.5079
INFO:root:259: Acc-tr: 100.00, Acc-val:  10.48, L-tr: 0.0002, L-val: 8.5189
INFO:root:260: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0002, L-val: 8.5084
INFO:root:261: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0002, L-val: 8.4732
INFO:root:262: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0002, L-val: 8.4850
INFO:root:263: Acc-tr: 100.00, Acc-val:  10.27, L-tr: 0.0002, L-val: 8.5428
INFO:root:264: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0002, L-val: 8.5082
INFO:root:265: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0002, L-val: 8.5093
INFO:root:266: Acc-tr: 100.00, Acc-val:  10.29, L-tr: 0.0002, L-val: 8.5116
